Number of Files,Course ID,Course Full Name
126,14532,"SEESGS34: Nations, Identity and Power in Central and Eastern Europe"
126,7171,SERS4017: Contemporary Russian Cinema
126,5395,MPHYGB24: Programming Foundations for Medical Image Analysis
126,6243,EUROG002:The Making of Modern Europe
126,3363,"SERS1013: Russian Cinema: History, Ideology, Society"
126,6577,GEOG3004: Coastal and Estuarine Environments
126,3107,SERS1011: The Making of Modern Russian Culture
126,984,Health management: planning and programme design
126,5547,GEOG3042: Restoration and Management of Freshwater Ecosystems
126,11327,INSTG017: Internet Technologies
125,6529,GEOG1004: Human Ecology: Geographical Perspectives
125,38843,HPSC2026 Science and Empire
125,7041,ECONG107: Econometrics (MECT)
125,14805,CEGEG081: Positioning
125,277,MBBS Year 6 SSC in Global Health
124,7470,CEGE(ENGS102P) Scenario A: Tube Carriage
124,14213,"HART3236 [SJ]: Beyond the Wall: Art and Culture in Eastern Europe, 1945 - the Present"
124,2038,GEOLM012_GG18: Palaeoclimatology
124,10879,CrossRoads OnStream
123,5333,ECON2004 - Part 2: Macroeconomic Theory and Policy - The open economy & growth 
123,12411,Stadtkolloquium
123,27935,Global Maternal and Child Health
123,27407,SESS3009: The Economics of Entrepreneurship
123,728,ENVS2025: Economics 2
123,27409,SESS3010: International Macroeconomics
123,3749,GEOGG040: Social Science Research Methods and Methodologies 
123,4692,Thesis Writing Opt A
123,26067,SESS3008: Topics in Financial Management II
123,36491,GEOGG040B: Social Science Research Methods and Methodologies 
123,440,ANAT1003: Introduction to Anatomy and Development
123,7540,FRENG034: MA French: Centre and Margins
122,18645,PORT4010: Advanced Portuguese
122,10259,Computer Science Teaching Committee
122,131,PHAR3006/M006/G006: Drug Design & Development
122,752,COMP1001: Computer Architecture
122,36183,ELCS6096: Gothic Cinema
122,7796,PORT2010: Intermediate Portuguese
122,324,LAWS3007: Company Law
122,3261,PHAS1240: Laboratory
122,6533,GEOG1006: Ideas in Geography
122,22197,PORT1010: Beginners' Portuguese
122,361,Dental Public Health
122,5735,Aesthetics (PHIL2030)
121,10733,MSIN3005/MSING305: Investigating Fraud
121,21361,MPHYGB32D: Clinical Practice by distance learning
121,15099,Virtual Clients in Conversation Therapy
121,6151,CEGEG076:Spatio-Temporal Data Mining
121,587,AUDL2006/GS04: Introduction to Hearing Aids
121,1192,"Module 3: Development of sensory, motor and cognitive neural systems (CHLDGN05)"
121,39929,BENVGES8: Food and the City
120,3103,SERS2012: Russian Cinema: Men and Women
120,812,"LAWSG027: Gender, Law and the State - Current Legal Issues"
120,3305,URBNG002: Urban Imaginations
120,8786,PSYCGI07: Design Practice
120,24291,"BENVGTC2: Urban Design: Layout, Density and Typology"
120,6846,SEESGS42 Theories of Social and Political Research 
120,10893,PG Certificate in Medical Education (Blue cohort)
120,13931,HISTGA08/HISTGA67: Codes and Practice: The World of Roman Law from Antiquity to the Early Middle Ages
120,35637,PG Certificate in Medical Education (Green cohort)
120,1922,MA Linguistics 
119,6279,CEGEG087 Geographic Information Systems Design 
119,2837,GEOG3045: Wetland Environments
119,6916,PHAS2444: Practical Physics for Natural Sciences
119,6945,ECON1602: Basic Microeconomic Concepts
119,3007,LAWS1008: European Legal Studies (German) I 
118,884,MSIN7001: Management Information and Control
118,377,LAWSG030: International Human Rights Law
118,10885,PG Diploma in Medical Education (Purple)
118,7005,ECONG022: Macroeconomics
118,2807,MSING012A: Business Feasibility Planning
118,28283,CEGE105P: Applied Fluid Mechanics
118,25865,SLMS Employability & Careers
118,39417,PG Diploma in Medical Education (Yellow)
118,10863,ZZ_HART1601 [Lauren Rotenberg]
118,1982,MSc Speech and Language Sciences
118,968,Earth Sciences Careers and Resources 
118,36399,UCL Arena for Programme Leaders
118,14658,SLMS Staff
117,29767,BIOL3004 and BIOL3005 Biological Sciences BSc/MSci Projects 2015-16
117,29985,BIOC3002/BIOC3027: BIOC Projects 2015-16
117,363,ARCL1009: Introduction to Egyptian and Near Eastern Archaeology
117,4329,STAT7002: Social Statistics
117,6523,GEOG1001: London - A Geographical Introduction
117,5051,HCSCGS26: MSc SLS Research Project
117,41491,"BIOL3004, BIOL3005, BIOLM097 - BIOL Projects 2017-18"
117,37005,BIOL3004 and BIOL3005 Biological Sciences BSc/MSci Projects 2016-17
117,6639,CELL3030/M030: Cellular and Developmental Neurobiology
117,37397,BIOC3002/BIOC3027: BIOC Projects 2016-17 
116,727,ENVS1006: Economics 1
116,953,"PHAS1224: Waves, Optics and Acoustics"
116,8952,ECON1005: The World Economy
116,1118,COLLECTING AND USING DATA: ESSENTIALS OF QUANTITATIVE SURVEY RESEARCH
116,4381,EPIDGS45: Research Methods for Social Epidemiology
116,735,Concepts & Controversies in Global Health - CIHDG033
116,6005,SESS3002: International Trade
115,6828,Global Health and Development: emerging policy debates
115,5215,UED Fieldtrip to Ghana
115,9963,INSTG006: Managing Collections
115,39529,UED Fieldtrip to Ghana 2016/17
115,7620,STAT3003/STATG011/STATM011:  Forecasting
115,7141,ESPS2101: European Integration in Historical Perspective
115,141,In-sessional EAP Moodle Pages
115,11903,CEGEG014/CEGEM014 Systems Engineering and Management
115,1116,RESEARCH IN ACTION: QUALITATIVE APPROACH
115,35341,UED Fieldtrip to Ethiopia 15/16
115,25494,UCLQG406: Collection Management
115,10837,MSING023/MSINMG23/MSIN3G23: Financial Management
115,41391,Karen Shackleford-Cesare Test Course 2016-17
114,24726,LAWS7007 European Legal Studies (French) II (OLD)
114,28275,CEGE102P: Materials
114,4323,LAWS2006: European Legal Studies (French) II 
113,10631,GEOGG100: Coastal Change
113,7530,"(LAWSG075, LAWSG090, LAWSG091)Corporate Insolvency I & II "
113,602,SESS1101: Introduction to Politics
113,5491,FREN4001: Use of French
113,2276,Royal Free Library Staff Training
113,671,ENVS1017: Urban Lab I: Graphic Skills
112,11647,ZZ_HART3235 [SS]: Documentary Work: American Media in the 1930s
112,7872,Methods in Cognitive Neuroscience II: Neuroimaging
112,2603,"GEOL2026: Maps, Images and Structures "
112,12533,FREN4207: Screen Cities
112,14865,CEGEG084: Terrestrial Data Acquisition
112,6531,GEOG1005: Environmental Change
111,8804,EPIDGD11: Philosophy and Principles of Dental Public Health
111,1112,NUTRITION AND PUBLIC HEALTH
111,1967,PLIN3104 / PLING213:Advanced Phonological Theory B
111,23295,PLING228: Semantics Research Seminar
111,7444,CEGE2008: Environmental Engineering Design
111,38425,HPSC1001: History of Science
111,1989,PLING223 / PLING227 Interfaces
111,39473,PLING205: Pragmatics Research Seminar
111,10291,MClinDent + MSc in Periodontology 2010-11
110,39479,CHMEGH98: Dissertation in Health Informatics 2016-17
110,26471,CHMEGH98: Dissertation in Health Informatics 2014-15 Option 1
110,20169,CHMEGH98: Dissertation in Health Informatics 2012-13
110,10883,PG Certificate in Medical Education (Red cohort)
110,7003,ECONG021: Microeconomics
110,28677,CHMEGH98: Dissertation in Health Informatics 2014-15 Option 2
110,40563,CHMEGH96: Dissertation in Health Data Science 2016-17
110,34827,ENVS2026: Computing for Design and Creative Practice
110,1190,Module 1: Introduction to Developmental Cognitive Neuroscience (CHLDGN08)
110,7263,HART1001 [NE]: The Core Course
110,35301,CHMEGH98: Dissertation in Health Informatics 2015-16
110,171,PLIN1202: Introduction to Generative Grammar B
110,21725,CHMEGH98: Dissertation in Health Informatics 2013-14 Option 1
110,29733,CHMEGH97: Dissertation in Health & Medical Sciences 2016-17
110,894,ENVS2023: Computing for the Built Enviroment
110,36951,DO NOT SHOW - Copy of CHLDGN08
110,7356,LAWSG080: Regulation of Financial Markets
110,34815,CHMEGH96: Dissertation in Health Data Science 2015-16
109,3405,MA in English Linguistics 2015/16
109,991,PHAR3008/G008: Psychopharmacology
109,9030,HART1305 [SJ]: History of European Art (2015): High Renaissance to the Present Day
109,13351,ANATG007: MSc Neuroscience Journal Club
109,2535,PHAS3226: Quantum Mechanics 
109,1136,GEOGG089: Globalisation and Security
109,890,ENVS1021: Materials: their use and structural function
109,2631,Advanced methods for research in language and communication
109,37173,MA in English Linguistics 2016-17 
109,6173,CEGEG029/CEGE3015:Coastal Engineering
109,678,ENVS2033: Urban and Environmental Politics
109,547,LAWS3020_6320: Competition Law - LLB Option
109,988,SEESGS45: Qualitative Methods
109,23313,Summer School in English Corpus Linguistics
109,9591,SEESGS59: Comparative Analysis in Social and Political Research
108,11341,UPCH Economics
108,5483,FREN1001: Use of French
108,609,BIOL1002: Quantitative Biology
108,5359,LATN3435: Vergil
108,11431,PUBLG085: Democracy and Accountability: Holding Power to Account
108,685,ENVS3017: Urban Lab III: Data Analysis
108,6553,GEOG2009: Environment and Society
108,16293,(15/16)ANTH3050: Evolution and Human Behaviour
108,10963,"PALSG204, PALS3003: Development of speech perception and production"
107,3635,"GEOLGH06: Meteorological, Climate and Hydrogeological Hazards"
107,3127,HART1306 [CF]: History of European Art (1): Classical to Early Renaissance (Autumn 2016)
107,6325,CEGEG067/CEGEM067: Environmental Engineering Design
107,11427,PUBLG086: Leadership and Organisational Behaviour
107,2501,PHAS2201: Electricity and Magnetism
107,40143,BENVGBU9 Critical Urbanism Studio II - 2016-17
107,12539,DRDP Structured Extramural Clinical Practice (Logbook)
107,14946,INIMG011: Laboratory Introduction to Bacteriology
107,4189,COMP6008: MultiMedia Computing
107,5025,"PALSG302, PALS3006: Rehabilitation of Acquired Neurogenic Communication Difficulties"
106,11087,BENVGPM8: Principles of Enterprise Management
106,35149,PUBLG115: Data Analysis for Policy
106,17826,PUBLG105: Advanced Qualitative Methods
106,27941,Hitchhikers Guide to Global Health (2nd year medical student SSC) 
106,17832,PUBLG110: International Trade Policy
106,17835,"PUBLG106: Human Rights, Accountability and World Politics"
106,9334,CEGEG068/CEGEM068: Finite-Element Modelling and Numerical Methods
106,17838,"PUBLG104: Normative Methods, Legal Analysis and Research Skills"
106,21313,MECH3005: Automatic Control
106,970,GEOLM037_GEOLGG23: Deep Earth and Planetary Modelling
106,35157,PUBLG119: Public Finance and Budgeting
106,17841,PUBLG103: Global Business Regulation
106,3101,SERS4016: Russian Cinema: Innovation and Experiment
105,411,ARCLG190: Museum Communication 2016-2017
105,12505,HPSC2020 Philosophy of Medicine
105,10889,BIOSG006/99: MRes Synthetic Biology
105,17109,CLASG010: M.A. Classics: Virgil 
104,19389,MSc Chemical Research
104,2322,Second Year Electronic and Electrical Engineering
104,16506,CEGEG083: Ocean & Coastal Zone Management 
104,25755,UCLQG408: Digital Resources in the Humanities
104,6918,SECUGC49: Risk and Contingency Planning
104,11859,INSTG008: Digital Resources in the Humanities
104,11755,MSc in Materials for Energy and Environment
104,11025,Academic Speaking Course
104,13997,HIST3104/9104: Mechanisms of Power: Running the Roman Empire (c. 70 BC - AD 275)
104,1195,Module 6: Assessment of neuropsychological disorders and their functional implications (CHLDGN01)
103,825,GC02: Design - HCI & User Studies
103,9613,MSc in Trauma and Orthopaedics
103,6247,EUROG004:Topics in Cultural Studies
103,112,Introduction to programming with C++
102,38333,MSc 2016 PHAYG053 Investigative Pharmacology
102,2531,PHAS3224: Nuclear and Particle Physics
102,3447,SEESGE73: MA New Language: Hungarian
102,1162,PLIN1302: Introduction to Language
102,3611,SEESGE71: New Language: Czech
102,6967,ECON7008: Economics of Tax Policy
102,13285,English Course for International University Students 2017
102,687,ENVS3029: Transport Policy and Planning
102,1025,PHAR2003/2006: Experimental Pharmacology and Practical Pharmacology
102,693,MSIN1003: Information World
101,732,Essentials of International Child Health - CIHDG005 
101,13949,GEOGG127: Spatial Decision Support
100,35851,MSIN6004: Accounting for Business
100,551,LAWS3042: Criminology
100,11541,"Machine Vision, COMPGI14/COMPM054"
100,10807,"ZZ_HART3229 [NE]: Postcoloniality, colonialism and art in the British Empire, c.1740-c.1850"
100,10617,HARTG010: Early Modern Horror
100,8430,Leadership and Professional Development: CHLDGX03
100,39451,Summer School - Spanish 1-5 August 2016
100,13749,HISTG078A/HISTG074A: Charismatic Cosmopolitanism
100,9711,EPIDGD07: Evidence Based Dental Practice
100,155,GEOL2010: Igneous Petrology
100,39347,REST TESTING
100,4666,PhD Planning Studies
99,42433,Health Informatics Induction 2017-18
99,8416,COMP3001: Technology Management and Professional Issues
99,26145,MSING007B/MSINMG07: Entrepreneurial Finance 
99,6185,CEGE303P:Fluids and Soils III
99,9144,EPIDGD12: Research Methods in Dental Public Health  
99,13791,"HARTG008: Vision, Tourism, Imperialism Tourism: Art and Travel in the British Empire"
99,38649,Induction: Graduate Programme in Health Informatics 2016-17
99,6914,MPHY3013/M013/G013: Medical Electronics and Neural Engineering
99,36473,MSING007B/MSIN3G07/MSINMG07: Entrepreneurial Finance
99,11465,MSING007: Entrepreneurial Finance
99,7163,ESPS9001: Dissertation
99,3723,"SERS2020: The Person, Love and Utopia in Russian Thought"
99,29411,(Old) MSING007B/MSIN3G07/MSINMG07: Entrepreneurial Finance
99,10723,LAWS1011: Public Law
99,6251,EUROG015: Questions of European Integration
99,3457,"Requirements Engineering and Software Architecture, COMPGS01/COMPM014"
99,119,ENVS3044: Cities and Social Change
99,153,Managing your Professional Life
99,6641,NEUR3031/G031/M031: The Control of movement
98,2288,GEOG3048: Migration and Transnationalism
98,2839,PHAS1241 Term 2 Demonstrations
98,16629,MSSL Technology Management Group
98,3751,Assessment and Feedback
98,7015,ECONG004: Time Series Econometrics
97,18480,MSc & Post. Dip./Cert. in HCI-E - 2012/2013 - General Course Information
97,38617,MSc & Post. Dip./Cert. in HCI - 2016/17 - General Course Information
97,2943,PHAS1240: Practical Skills - Computing
97,946,"Clinical genomics, genetics and rare diseases CHLDGX05"
97,27675,MSc & Post. Dip./Cert. in HCI-E - 2014/2015 - General Course Information
97,22806,MSc & Post. Dip./Cert. in HCI-E - 2013/2014 - General Course Information
97,323,SESS1102: Introduction to International Relations
97,34783,MSc & Post. Dip./Cert. in HCI-E - 2015/2016 - General Course Information
97,3949,ARCL2001: Roman Coinage
97,38555,HPSC2002 Science in Popular Culture
97,6613,GEOG1007: Global Geographies
97,3043,"BIOL3012 Sex, Genes and Evolution"
97,38833,"HPSC2012 Science, Religion and Revolution"
96,37693,INSTG079: Information Governance
96,13299,ECON7011: Economics of Science
96,10675,INSTG020: Management - Course information
96,6989,ECON3014: Game Theory
96,8784,PSYCGI15: Affective Interaction
96,3091,SESS3102: Soviet & Russian Foreign Policy (BA)
96,14679,SURGGS09: Application of Evidence in Clinical Practice
96,4939,Child Development: Inclusive approaches in global contexts
96,9617,Chemistry Undergraduate Information (a.k.a. CHEMUGINFO)
96,8688,AS Gen Info
96,35105,Careers and Professional Development
96,5495,FREN2001: Use of French
96,25503,UCLQG420: Introduction to Management
96,11529,"Financial Information Systems, COMPGS07/COMPM027"
96,7522,HARTG001: MA Core Course
95,36271,CHMEGH25: Shared Care & Electronic Health Records 2015-16 (DS)
95,2621,GEOL1004: Dynamic Earth
95,859,ELEC1003 Digital Circuits
95,433,LAWS2002: Property Law II for 2nd year LLB 
95,10911,CHMEGH25: Shared Care & Electronic Health Records 2015-16
95,4305,"Validation and Verification, COMPGS03/COMPM023"
95,4499,MPHY3012/M012/G012: Physiological Monitoring
95,1138,SEESGS39: Informal Practices in Post-Communist Societies
95,7422,SCAN1401: Introduction to Old Norse
95,6003,COMP6007/GC15/GA07: Communications and Networks
95,40487,CHMEGH25: Shared Care & Electronic Health Records 2016-17
95,3293,Information Skills for IGH Students
95,425,LAWS1001: Contract Law
94,6826,CIHDG037: Climate change and health
94,3657,BIOC3017: Cellular & Molecular Aspects of Cardiovascular Disease
94,14185,ITAL1115: Italy the first 150 years: an introduction
94,729,ENVS3005: Financial Management
94,25047,LAWSG099: Independent Research Essay (2015-16)
94,35575,BENVGES8: Food and the City 2014-2015
94,35577,BENVGES9: Urban and Peri-Urban Agriculture: Knowledge Systems in the Global South
94,956,SEESGS02: Corporate Governance and Privatisation
94,2152,BENVGES4: Urban Agriculture
94,3193,SERS2011: Russian Poetry from Pushkin to Brodsky
94,346,LAWSG003: Sustainability and Environmental Justice
94,3633,GEOLGH05_GEOLM008: Physical Volcanology and Volcanic Hazard
93,6525,GEOG1002: Environmental Systems and Processes
93,13259,URBNG007: Community Participation in City Strategies
93,484,BENG1001: Introduction to Biochemical Engineering
93,4640,CHEM1301LAB: Physical Chemistry Laboratory Course
92,7199,Security and Crime Science events and opportunities
92,3587,CLASGR12: Approaches to the Reception of Classical Antiquity
92,9332,CEGEG022/CEGEM022: Seismic Risk Assessment
92,2907,"STAT2001 Probability and Inference, STAT3101 Probability and Statistics II"
92,7063,CELL3050/CELLG050/CELLM050: Advanced Molecular Cell Biology 
92,9345,CEGEG026: Geotechnical Earthquake Engineering
91,35135,CHMEGH23: Principles of Health Informatics 2015-16
91,8284,Epidemiology for Child Health - CHLDGP11
91,3049,MSc Neuroscience
91,5535,z-INACTIVE MBBS Year 1 and 2 Epidemiology
91,4561,STATG099: MSc Statistics Project 
91,39483,CHMEGH23: Principles of Health Informatics 2016-17
91,13461,LAWSG148: The Historical Development of the Common Law
91,7011,ECONG002: Advanced Macroeconomic Theory
91,20190,CLASGL09: MA Ovid
91,7990,LAWS1007 European Legal Studies (French) I 
91,354,LAWSG048: Competition Law and Intellectual Property Rights: The Regulation of Innovation 
91,8984,PHIL2033: Metaphysics
91,2613,GEOL1013: The Earth
91,14319,LATN7013: Late and Medieval Latin
91,10901,CHMEGH23: Principles of Health Informatics 2014-15
91,1960,PLIN2109/PLING217: Intermediate Phonetics and Phonology B
91,26121,Pre-sessional 2014
91,29237,Pre-sessional 2017
91,6543,GEOG2001: The Practice of Geography
90,40409,CEGEG098/CEGEM002: Integrated Design 16/17
90,920,SCAN2004: Intermediate Modern Icelandic
90,78,MSIN7010: Business ethics and corporate social responsibility
90,9326,CEGEG098/CEGEM002: Integrated Design
90,28111,GERM1101:Introduction to German History
90,14871,MSINM022: Organisational Behaviour
90,7860,LAWSG096: Japanese Commercial Law: Corporate and Business Environment
90,3565,GEOGG021: Sustainable Development
89,13011,MPHYGB20: Medical Electronics and Control
89,366,"Cognitive Systems and Intelligent Technologies, COMP209P "
89,4923,HPSC2013 Evolution in Science and Culture
89,7770,HARTG032: Politics of the Image: Germany 1890 to 1945
88,27511,"ENGS102P CEGE: Design & Professional Skills (Civil, Environmental & Geomatic Engineering) 2014/15"
88,26129,"CEGEG128/CEGEM128: Seismic Loss, Mitigation and Strengthening of Low-Engineering Buildings"
88,39561,CEGEG141/CEGEM141: Preliminary Design and Approximate Analysis of Structural Systems
88,39789,CEGE301M Space Systems
88,38867,HPSC3041 Disease in History
88,28279,CEGE104P: Engineering Toolkit 
88,28355,MSc Geographical Information Science (GIS)
88,41163,"CEGE305M: Aerospace Structures, Manufacture and Testing"
88,25803,CEGEG099: MSc Project
88,2198,PLIN2003 / PLING207: Topics in Semantics and Pragmatics
88,3149,SERS1010: Russian Short Fiction from Romanticism to Postmodernism
88,39563,CEGEG142/CEGEM142: Transport Planning Analysis
88,26645,"CEGEXXXX: Civil, Environmental and Geomatic Engineering Template"
88,35401,CDT Medical Imaging 
88,20463,CEGEG017/CEGEM017 : Roads and Underground Infrastructure 
88,41063,CEGEG099: MSc Project 16/17
88,27151,DWSPG: Dissertation writing skills
88,7726,Clinical Science Module
88,26193,CEGEG097: MRes Urban Sustainability and Resilience: Research Project
88,39565,CEGE302M/CEGEM143/CEGEG143: Waste & Resource Efficiency
88,39977,CEGE301P: Civil Engineering in Practice
88,21018,CEGEG104: Interdisciplinary thinking in Urban Sustainability and Resilience
88,11603,HIST6304: British History c.1850-1990
88,3525,SEEC1001: Czech Language Level 1
88,19011,CEGEG090: Advanced Structural Analysis
88,38857,HPSC3028 Philosophy of Medicine
88,29571,CEGEG140/CEGEM140: Advanced Seismic Design of Structures
88,27439,CEGEG131: Survey Project
88,30121,CEGE201M: Aerospace Design and Aerodynamics 
88,26073,CEGE Student and Staff Information
88,30309,CEGEG138/M138: Appropriate Technologies in Practice (ATP)
88,23397,CEGEG132/CEGEM132: Engineering and International Development
88,36329,CEGE204P: Footbridge Design Scenario
88,22033,CEGEG020: Introduction to Seismic Design of Structures
88,28267,CEGE101P: Civil Engineering Design 1
88,11077,BENVGPM3: Managing the Enterprise-Project Relationship
88,11119,ENVS3034: Organisational Management
88,744,SCAN4001: Advanced Danish
88,25957,CEGE203P: Roads Scenario
88,30315,CEGE202M: Introduction to Environmental Engineering
88,35313,CEGE203P: Design and Professional Skills 2
88,28269,CEGE102P: Applied Structures
88,38539,HPSC1003 Philosophy of Science 1
88,26019,CEGEG130: Applied Building Information Modelling
88,2036,GEOLM018_GG17: Palaeoceanography
88,8444,CEGE206P: Surveying and Field Studies
88,5833,SESS2005: Topics in Microeconomics
88,28613,CEGEG066/CEGEM066: The Anatomy of the Railway
88,39559,CEGE106P: Design & Professional Skills I
88,20418,CEGE1008 : Engineering Thinking 1 
88,29445,CEGEG134: Environmental Modelling
88,881,BSc Project
87,7642,PHASM800/PHASG800 : MOLECULAR BIOPHYSICS
87,3081,ARCLG200:  Egyptian Archaeology: an object-based theoretical approach 
87,38105,CPASG712B; Professional Development Portfolio 2 Dubai
87,29803,JGramp restore test
87,8998,LAWSG115 International Law and Policy of Climate Change 
87,2623,GEOL1012: Surface Processes
87,164,DUTC4201 / DUTCG201: Making Modern Dutch Literature
87,1953,PLIN1601 / PLING159 Introduction to Children's Language Development
87,6483,GEOG2024: Cultural and Historical Geography
87,3529,SEEC2001: Czech Language Level 2a - Comprehension
87,6782,ARCL2021: Archaeological surveying
87,13091,JGramp blah
87,30971,CPASG712B: Professional Development Portfolio 2 Dubai
87,39931,"BENVGPU1: The City and its Relations: Context, Institutions and Actors in Urban Development Planning"
87,11863,MA English: Issues in Modern Culture
87,25,Anthropological Methods (Backup)
86,709,(16/17)ANTH7004: Anthropology of Art
86,2458,LAWSG104 Law in the Real World: An Introduction to Empirical Legal Studies 
86,38853,HPSC3015 History of Astronomy and Cosmology
86,580,LAWSG013: World Trade Organisation and Trade Linkages in the WTO
86,3105,SERS4014: Pushkin
86,8550,BENVGES5: Adapting cities   for Climate Change in the Global South
86,667,ENVS1001: The Historical and Cultural Development of Cities and their Architecture
86,6581,GEOG3070: Environment and Society II
86,14550,"ELCS4003: Critical Divides: Art, Life, and Politics in Europe, 1958-69"
86,3287,"PALSG203: Developmental Disorders of Language, Learning and Cognition"
86,38543,HPSC1010 Revealing Science
86,7722,MPHYGB19: Treatment with Ionising Radiation
85,14370,MECH1010: Modelling & Analysis I
85,13303,MPHYGB14D: Distance learning
85,29821,BIOLM005 Biological Sciences MSci Projects 2015-16
85,675,ENVS2007: Green Futures
85,37007,BIOLM005 Biological Sciences MSci Projects 2016-17
85,529,PHAR1001: An Introduction to Mechanisms of Drug Action
85,41525,BIOLM005:projects 2017-18
85,699,(16/17)ANTH1005: Introduction to Social Anthropology
85,10643,GEOG3057/ GEOGG131: Global Environmental Change
85,14682,HISTGA01: Sources and Methods in Ancient History
85,1092,MSING014B: Decision and Risk Analysis - Group 1
84,14976,(15/16)ANTHGS18: Linguistic Anthropology
84,3655,BIOC3013: Cancer Biology
84,6963,ECON7005: Economics of the Public Sector
84,7031,ECONG041: Health Economics
84,111,(15/16)ANTH7028: Linguistic Anthropology
84,730,Disability and Development - CIHDG011
84,995,FIS I-Procurement
84,6637,ANAT3028/3028A/G028/M028/3029/G029/M029: Neurobiology of Neurodegenerative Diseases
84,14553,"ELCS6005: \Raging Broom of Madness\"": Futurism and Modernity"""
84,188,"(16/17)ANTH7015: Fish & Fisheries: Anthropology, Aquatic Resources and Development"
84,6997,ECON3020: Experimental Economics
84,9911,ECONG009: Advanced Microeconometrics
84,3005,LAWS3013: Law and Ethics 
84,1943,DUTC4205: Contemporary history and culture of the Low Countries
84,879,AUDLGS07: Clinical and Professional Practice 
84,6589,GEOG3038: Water and Development in Africa
83,10263,SCAN1201: Nordic Storytelling
83,40051,BENVGPU4: Gender in Policy and Planning
83,6583,GEOG3068: Cultural and Historical II - Gendered Geographies
83,5519,PHAS2201: Electricity & Magnetism
82,9559,HISTGA04/HISTGA11: Continuity and Change in the Ancient Near East in the first millennium BC
82,9026,Español A
82,11461,MSIN7016: Managerial Accounting for Decision Makers
82,8940,Graduate Seminar Ancient Philosophy
82,23301,BIOC3002 / BIOC3027: BIOC Projects 2013-14
82,26353,BIOC3002 / BIOC3027: BIOC Projects 2014-15
82,36515,STAT7001: Computing for Practical Statistics 2016
82,41041,STAT7001: Computing for Practical Statistics
82,5405,SERS1004: Use of Russian
82,3915,HEBR7812: Hasidism and Modernity
82,30353,MSIN716P: Management Accounting for Engineers
82,13425,z-INACTIVE MBBS Vertical Modules Year 1 (2011-12)
82,3771,LCSP6012: Spanish Level 2 (AB)
82,1126,SPAN4303 Spanish Film from the 1990s
81,313,LAWSG042: Law and Economics of Regulated Markets
81,885,MSIN7002: Business in a Competitive Environment
81,198,MSING005: Entrepreneurial Marketing
81,52,(16/17)ANTH1001: Introduction to Material & Visual Culture
81,3795,ARCLG034: Museum and Site Interpretation
81,3137,STATG002/STATM002: Statistical Design of Investigations
81,11037,"BENVGCM1: The Economics of Construction: Economics, Sectors and Industries"
81,35899,"BENVGCM1: The Economics of Construction: Economics, Sectors and Industries 15/16"
81,16356,STAT3020/STATM020/STATG020: Stochastic Methods in Finance 2 
81,544,LAWS3005 Intellectual Property Law - LLB Option 
81,311,LAWSG089: Russian Commercial Law 
81,8838,"MBBS Years 1, 2, 4, 5 and 6 Clinical Skills: ECG Introduction workshop"
81,2833,ITAL4118/ITAL4918: Italian Migrant Literature
80,972,MECH1001: Fluid mechanics
80,4423,GEOGG033: Geographies of Material Culture
80,4523,MECH2005: Stress Analysis
80,13939,GEOGG123: Impacts of Climate Change on Hydro-ecological Systems
80,11601,HIST6105: The Roman Empire from Augustus to Theodosius I
80,695,BIOL1004: First year key skills
80,36893,ELCS6027 Nationalism and Ethnicity in Contemporary Europe 2016/17
80,4231,ELCS6027: Nationalism and Ethnicity in Contemporary Europe
80,13795,BENVGBU9 Critical Urbanism Studio II
80,12507,FREN4213: French Texts XXVI: Forms of Feeling
80,3139,STATG003/STATM003: Statistical Computing
80,41567,STATG003/STATM003: backup/restore - broken
80,5041,HCSCGS13: Psychological and Linguistic Perspectives on Development
80,11733,MSc in Special Needs Dentistry 2010-2011
80,7023,ECONG014: Topics in Money and Finance
80,8792,BENVGEE7: Methods of Environmental Analysis
80,679,ENVS2036: Urban Form and Formation
80,41569,STATG003/STATM003 Import / working
80,34273,MECH204P: Mechanics of Solids & Structures
79,10931,z-INACTIVE MBBS Final Year Case of the Month Case 1 - Mr Smith 
79,2483,"PHAS1423: Modern Physics, Astronomy and Cosmology "
79,15009,ELCS6024: Representing History
79,13473,"INIMG028: Healthcare Associated Infection Prevention, Control and Organisational Aspects"
79,12035,Ian Newby - Academic Literacies
79,11503,ITAL2114: Language and Society in Italy since 1500
79,6784,SESS3103: European Security
78,8968,Specialist Paediatrics I (Acute) - CHLDGX06
78,4612,ITAL 1114: Renaissance History and Art
78,924,Economics 2 (ECON2601)
78,5795,GREK2001: Intermediate Greek A
78,14937,INIMG023: Infection and Immunodeficiency in children
78,12291,INSTG021: The Record-keeping Professional – course information
78,4451,SEESGH05: The Self & The World
78,6491,GEOG3056: Africa - Postcolonial Perspectives
78,9937,ECONG051: Macroeconomic Policy
78,24240,BENVGEP3: Real Estate Appraisal
77,28507,CLAS7205: The Dialogues of Plato
77,808,GEOGG061: Marine Conservation
77,4335,MSIN7005: Law for Managers
77,1109,CHILDREN IN DIFFICULT CIRCUMSTANCES
77,10633,GEOGG101: Surface Water Modelling
77,4493,BENVGPMD: Environmental Sustainability in the Construction Sector 
77,763,PHAS3661 and PHASG661: Physics of the Earth
77,676,ENVS2009: Economics of Cities and their Regions
77,13947,GEOGG152: Network and Locational Analysis
